                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0526,                 1.0429,                 1.4763,                0.82722,                0.78902,                0.85676,                0.54247,                  1.195,                 0.8044,                 1.5606,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0518,                 1.0496,                 1.4725,                0.84482,                0.77095,                  0.865,                0.54303,                 1.2167,                0.80002,                 1.5628,               0.006238,               0.006238,               0.006238
                     78,                  1.039,                 1.0371,                 1.4617,                0.87418,                0.74441,                0.85795,                0.54307,                 1.2138,                 0.8022,                 1.5785,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0299,                 1.0282,                 1.4571,                0.83946,                0.76257,                0.85537,                0.54246,                 1.1864,                0.81296,                 1.5488,               0.006139,               0.006139,               0.006139
                     80,                 1.0436,                 1.0095,                 1.4704,                0.81959,                0.77793,                0.85566,                 0.5433,                 1.1963,                0.79502,                 1.5614,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0438,                 1.0186,                 1.4631,                0.81445,                0.80168,                0.86018,                 0.5518,                 1.1851,                0.78662,                 1.5519,                0.00604,                0.00604,                0.00604
                     82,                 1.0342,                 1.0083,                 1.4651,                0.80992,                0.78556,                0.85437,                  0.545,                 1.1929,                0.81272,                 1.5499,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.0344,                 1.0125,                 1.4607,                 0.8097,                0.79749,                0.85825,                0.54249,                 1.2067,                0.78945,                 1.5677,               0.005941,               0.005941,               0.005941
                     84,                 1.0347,                 1.0156,                 1.4542,                0.84475,                0.76757,                 0.8605,                 0.5583,                 1.1877,                0.79533,                 1.5567,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.0353,                 1.0175,                 1.4579,                0.84365,                0.76816,                0.85688,                0.55015,                 1.1844,                0.80342,                 1.5718,               0.005842,               0.005842,               0.005842
                     86,                 1.0299,                 1.0048,                 1.4546,                0.85892,                0.77378,                0.86061,                0.55096,                 1.1817,                0.79948,                 1.5492,              0.0057925,              0.0057925,              0.0057925
                     87,                   1.03,                 1.0023,                 1.4538,                0.82162,                0.78352,                0.85011,                0.55064,                 1.1942,                  0.791,                   1.56,               0.005743,               0.005743,               0.005743
                     88,                 1.0206,                 1.0032,                  1.449,                0.84454,                0.76397,                0.85557,                0.54956,                 1.1858,                0.80191,                 1.5529,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.0138,                  1.009,                 1.4435,                0.81067,                0.78492,                0.84965,                0.54883,                 1.1761,                0.79928,                 1.5434,               0.005644,               0.005644,               0.005644
                     90,                 1.0289,                0.99645,                 1.4471,                0.83398,                0.79277,                0.86481,                0.55836,                 1.1697,                0.77357,                 1.5392,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.0094,                0.98726,                 1.4408,                0.86214,                0.76397,                0.86621,                0.55383,                 1.1803,                 0.7898,                 1.5486,               0.005545,               0.005545,               0.005545
                     92,                 1.0004,                0.98792,                  1.426,                0.84036,                0.78665,                 0.8629,                0.55159,                 1.1712,                0.77947,                  1.536,              0.0054955,              0.0054955,              0.0054955
