                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.94113,                0.79889,                 1.2705,                0.83391,                0.77654,                0.81758,                  0.506,                 1.3152,                0.85862,                 1.5468,               0.006436,               0.006436,               0.006436
                    110,                0.93501,                0.81817,                 1.2759,                0.80746,                0.80587,                0.82918,                0.51072,                  1.291,                0.83626,                 1.5275,               0.006403,               0.006403,               0.006403
                    111,                0.96004,                0.83579,                 1.2857,                0.84073,                0.78882,                0.82485,                0.51296,                 1.2853,                0.86672,                 1.5142,                0.00637,                0.00637,                0.00637
                    112,                0.92348,                0.79625,                 1.2447,                0.82823,                0.76676,                0.81683,                0.50915,                 1.2892,                0.86368,                 1.5163,               0.006337,               0.006337,               0.006337
                    113,                0.93686,                 0.7869,                 1.2484,                0.85653,                0.75559,                0.82758,                0.51484,                 1.2952,                0.85453,                 1.5136,               0.006304,               0.006304,               0.006304
                    114,                 0.9207,                0.78685,                 1.2548,                0.82788,                0.77514,                0.82423,                0.51353,                 1.2908,                0.85023,                 1.5237,               0.006271,               0.006271,               0.006271
                    115,                0.92151,                0.80189,                 1.2597,                0.82587,                0.76816,                0.81743,                0.50884,                  1.294,                0.84383,                 1.5255,               0.006238,               0.006238,               0.006238
                    116,                0.91615,                0.80265,                 1.2509,                0.83759,                0.76955,                0.82826,                0.51823,                 1.2917,                0.83754,                 1.5193,               0.006205,               0.006205,               0.006205
                    117,                 0.9092,                0.78465,                 1.2434,                0.83235,                0.76955,                0.81955,                0.50851,                 1.2908,                0.85536,                 1.5211,               0.006172,               0.006172,               0.006172
                    118,                0.92561,                0.78304,                 1.2417,                 0.8587,                0.76955,                0.83466,                0.51824,                 1.2902,                0.85167,                 1.5257,               0.006139,               0.006139,               0.006139
                    119,                0.91373,                0.77335,                 1.2329,                   0.85,                0.77514,                0.83177,                0.51087,                 1.3024,                0.83844,                 1.5313,               0.006106,               0.006106,               0.006106
                    120,                0.90271,                0.77449,                  1.236,                 0.8351,                0.77801,                0.82406,                0.50978,                 1.3086,                0.83314,                  1.544,               0.006073,               0.006073,               0.006073
                    121,                0.91324,                0.77939,                 1.2605,                0.85486,                   0.75,                0.82003,                0.50997,                 1.3135,                0.83731,                 1.5322,                0.00604,                0.00604,                0.00604
                    122,                0.90176,                0.76818,                 1.2438,                0.83434,                0.77793,                0.82622,                0.51417,                 1.3058,                0.82735,                 1.5317,               0.006007,               0.006007,               0.006007
                    123,                0.91073,                0.75834,                 1.2476,                0.83163,                0.76397,                0.83352,                 0.5169,                 1.2995,                0.84023,                  1.524,               0.005974,               0.005974,               0.005974
