                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1267,                 1.1412,                 1.5099,                0.79304,                0.78352,                0.83642,                0.52311,                   1.23,                0.85656,                 1.5611,               0.007756,               0.007756,               0.007756
                     70,                 1.1196,                 1.1448,                 1.5055,                0.81732,                0.78492,                0.84207,                0.52723,                  1.232,                0.83341,                 1.5578,               0.007723,               0.007723,               0.007723
                     71,                  1.142,                  1.145,                 1.5197,                 0.8276,                0.77104,                 0.8454,                0.52308,                 1.2294,                0.84662,                 1.5434,                0.00769,                0.00769,                0.00769
                     72,                 1.1153,                 1.1432,                 1.5036,                0.81264,                0.74022,                0.83196,                0.52774,                 1.1924,                0.85997,                 1.5296,               0.007657,               0.007657,               0.007657
                     73,                 1.1103,                 1.1244,                  1.488,                0.83113,                0.80028,                0.84914,                 0.5246,                 1.2495,                0.81828,                 1.5643,               0.007624,               0.007624,               0.007624
                     74,                 1.1136,                  1.112,                 1.4887,                  0.809,                0.79888,                0.85232,                0.54108,                 1.2078,                0.80225,                 1.5178,               0.007591,               0.007591,               0.007591
                     75,                 1.1174,                 1.1119,                 1.4826,                0.82821,                0.79888,                0.85799,                0.54018,                 1.2096,                0.82493,                 1.5169,               0.007558,               0.007558,               0.007558
                     76,                 1.1099,                 1.1277,                 1.4898,                0.82574,                0.79419,                0.85756,                0.54033,                  1.197,                0.81217,                 1.5247,               0.007525,               0.007525,               0.007525
                     77,                 1.1092,                 1.1247,                 1.4813,                0.82415,                0.81168,                0.85643,                0.54042,                 1.1931,                0.81102,                 1.5146,               0.007492,               0.007492,               0.007492
                     78,                 1.1002,                  1.119,                 1.4795,                0.81608,                0.77095,                0.84955,                0.53564,                 1.2061,                0.82213,                  1.529,               0.007459,               0.007459,               0.007459
                     79,                 1.0944,                 1.1148,                  1.469,                  0.835,                 0.7704,                0.84394,                0.53399,                 1.1972,                0.81157,                 1.5227,               0.007426,               0.007426,               0.007426
                     80,                 1.1027,                  1.093,                 1.4826,                0.83341,                0.77554,                0.85087,                0.53111,                 1.2158,                0.82629,                 1.5354,               0.007393,               0.007393,               0.007393
                     81,                 1.1063,                 1.0965,                 1.4737,                 0.8375,                0.79901,                0.86385,                0.54992,                 1.1775,                0.78353,                 1.5018,                0.00736,                0.00736,                0.00736
                     82,                 1.0976,                 1.0869,                 1.4766,                0.82239,                0.80587,                0.86057,                 0.5519,                 1.2077,                0.79256,                 1.5259,               0.007327,               0.007327,               0.007327
                     83,                 1.0928,                 1.0855,                 1.4651,                0.79907,                0.81425,                0.85616,                0.53829,                 1.1986,                0.81309,                 1.5076,               0.007294,               0.007294,               0.007294
                     84,                  1.103,                  1.097,                 1.4714,                0.83435,                0.77933,                0.85143,                0.53886,                 1.2062,                0.80936,                 1.5309,               0.007261,               0.007261,               0.007261
                     85,                 1.1016,                 1.1058,                 1.4692,                0.84143,                0.81425,                0.86759,                0.55294,                 1.1815,                0.78057,                 1.4932,               0.007228,               0.007228,               0.007228
                     86,                 1.0871,                 1.0868,                 1.4581,                0.83914,                0.78352,                0.85626,                0.54566,                 1.2104,                0.78933,                 1.5207,               0.007195,               0.007195,               0.007195
                     87,                 1.0976,                 1.0889,                 1.4686,                0.82405,                0.79888,                0.85671,                0.54454,                 1.2042,                  0.795,                 1.5213,               0.007162,               0.007162,               0.007162
                     88,                 1.0901,                 1.0896,                 1.4577,                0.81884,                 0.7933,                0.85779,                0.53966,                 1.2102,                0.79133,                 1.5108,               0.007129,               0.007129,               0.007129
                     89,                 1.0767,                 1.0782,                  1.444,                0.83636,                0.79609,                0.85828,                0.54712,                 1.1883,                0.79566,                 1.4956,               0.007096,               0.007096,               0.007096
                     90,                 1.0921,                 1.0853,                 1.4546,                0.85042,                 0.8324,                 0.8765,                 0.5617,                  1.175,                0.75669,                 1.4754,               0.007063,               0.007063,               0.007063
                     91,                 1.0803,                 1.0649,                 1.4576,                0.84471,                0.77491,                0.85765,                0.55772,                 1.1679,                0.80166,                 1.4833,                0.00703,                0.00703,                0.00703
                     92,                  1.071,                 1.0699,                 1.4342,                0.82606,                0.80257,                 0.8646,                0.55155,                 1.1872,                0.76893,                 1.4862,               0.006997,               0.006997,               0.006997
